278,124,458,124,458,154,278,154
102,195,184,195,184,214,102,214
189,195,222,195,222,214,189,214
562,252,603,252,603,275,562,275
132,255,190,255,190,270,132,270
423,255,466,255,466,270,423,270
245,256,343,256,343,280,245,280
515,289,644,289,644,308,515,308
423,291,466,291,466,308,423,308
132,292,190,292,190,310,132,310
240,296,316,296,316,313,240,313
133,330,192,330,192,348,133,348
239,332,294,332,294,349,239,349
303,333,360,333,360,351,303,351
140,368,259,368,259,385,140,385
266,368,302,368,302,385,266,385
359,368,387,368,387,389,359,389
396,367,454,370,453,392,395,389
105,448,155,448,155,467,105,467
160,448,193,448,193,466,160,466
83,450,96,450,96,464,83,464
521,498,592,500,592,523,520,521
239,502,285,502,285,526,239,526
420,502,477,502,477,518,420,518
592,504,656,504,656,521,592,521
143,505,185,505,185,521,143,521
291,505,340,505,340,526,291,526
420,540,477,540,477,555,420,555
142,542,185,540,186,557,143,559
231,543,313,543,313,562,231,562
326,543,370,543,370,560,326,560
379,612,444,612,444,633,379,633
450,612,535,612,535,631,450,631
217,614,248,614,248,634,217,634
256,614,288,614,288,631,256,631
294,614,341,614,341,631,294,631
349,614,382,614,382,633,349,633
122,615,171,615,171,634,122,634
177,615,211,615,211,631,177,631
99,617,114,617,114,631,99,631
346,699,436,699,436,716,346,716
436,699,489,702,488,720,435,717
222,704,285,704,285,721,222,721
349,738,382,738,382,762,349,762
222,741,285,741,285,759,222,759
220,781,283,781,283,798,220,798
354,781,398,781,398,806,354,806
218,820,285,820,285,839,218,839
349,820,449,822,448,838,349,836
450,819,496,821,496,840,449,837
218,861,285,861,285,877,218,877
349,860,401,863,399,888,348,886
623,863,656,863,656,882,623,882
409,865,460,868,459,890,408,888
