214,611,642,611,642,819,214,819
776,644,1176,627,1183,789,783,806
1341,636,1612,636,1612,844,1341,844
3055,642,3307,642,3307,837,3055,837
3402,648,3780,648,3780,850,3402,850
1760,645,2285,663,2278,860,1753,841
2425,661,2910,661,2910,812,2425,812
2860,1134,3294,1134,3294,1316,2860,1316
243,1154,877,1116,889,1314,255,1353
2016,1140,2740,1140,2740,1316,2016,1316
1549,1146,1883,1146,1883,1354,1549,1354
1102,1152,1392,1152,1392,1348,1102,1348
2450,1587,2822,1587,2822,1764,2450,1764
2967,1587,3282,1587,3282,1745,2967,1745
1776,1625,2255,1625,2255,1751,1776,1751
957,1644,1593,1644,1593,1833,957,1833
3263,1656,3357,1656,3357,1707,3263,1707
234,1664,746,1678,742,1827,230,1814
