737,50,831,50,831,113,737,113
1782,50,1852,50,1852,126,1782,126
1083,163,1190,163,1190,245,1083,245
2129,182,2236,182,2236,270,2129,270
1864,207,1934,207,1934,264,1864,264
2331,1547,2692,1556,2689,1677,2328,1668
1866,1559,2191,1576,2184,1697,1859,1680
730,1600,1096,1600,1096,1751,730,1751
1280,1614,1691,1586,1701,1724,1290,1752
182,1612,535,1612,535,1751,182,1751
2438,1896,2633,1896,2633,2028,2438,2028
1953,1902,2154,1902,2154,2028,1953,2028
797,1907,1048,1928,1038,2058,786,2037
207,1921,510,1921,510,2072,207,2072
1373,1921,1638,1921,1638,2047,1373,2047
